Date,Sales
2021-01-01,115156.34
2021-01-02,534299.32
2021-01-03,379153.09
2021-01-04,719319.93
2021-01-05,693771.31
2021-01-06,704278.00
2021-01-07,775190.47
2021-01-08,857060.33
2021-01-09,446352.42
2021-01-10,391768.53
2021-01-11,733571.93
2021-01-12,795018.55
2021-01-13,779202.60
2021-01-14,742259.47
2021-01-15,775073.78
2021-01-16,492197.21
2021-01-17,368839.93
2021-01-18,731981.17
2021-01-19,788493.81
2021-01-20,804538.58
2021-01-21,838307.07
2021-01-22,812093.68
2021-01-23,493435.55
2021-01-24,354731.63
2021-01-25,758050.85
2021-01-26,232831.33
2021-01-27,848948.89
2021-01-28,896314.07
2021-01-29,868790.30
2021-01-30,573356.27
2021-01-31,448293.63
2021-02-01,746601.18
2021-02-02,793167.91
2021-02-03,793863.58
2021-02-04,841772.19
2021-02-05,781635.02
2021-02-06,523085.47
2021-02-07,415826.66
2021-02-08,755109.06
2021-02-09,742075.67
2021-02-10,727387.55
2021-02-11,866252.38
2021-02-12,805008.78
2021-02-13,505408.74
2021-02-14,434778.44
2021-02-15,737327.85
2021-02-16,792759.11
2021-02-17,743747.18
2021-02-18,814496.57
2021-02-19,827988.59
2021-02-20,501066.06
2021-02-21,422005.07
2021-02-22,715725.96
2021-02-23,812849.73
2021-02-24,835396.38
2021-02-25,809478.59
2021-02-26,820590.39
2021-02-27,525747.39
2021-02-28,429631.09
2021-03-01,787947.39
2021-03-02,766658.79
2021-03-03,760344.30
2021-03-04,919809.40
2021-03-05,793591.72
2021-03-06,519810.14
2021-03-07,489732.37
2021-03-08,778157.73
2021-03-09,759555.07
2021-03-10,811099.20
2021-03-11,845474.83
2021-03-12,762510.09
2021-03-13,507366.29
2021-03-14,430972.76
2021-03-15,769659.49
2021-03-16,771624.79
2021-03-17,809616.37
2021-03-18,818661.51
2021-03-19,836656.55
2021-03-20,483804.81
2021-03-21,454798.48
2021-03-22,736437.46
2021-03-23,702161.26
2021-03-24,777626.63
2021-03-25,862588.39
2021-03-26,883914.06
2021-03-27,549787.57
2021-03-28,418994.28
2021-03-29,839598.20
2021-03-30,883874.77
2021-03-31,999512.81
2021-04-01,1084373.58
2021-04-02,45712.93
2021-04-03,617749.15
2021-04-04,172169.28
2021-04-05,368005.83
2021-04-06,965822.22
2021-04-07,898599.18
2021-04-08,987103.20
2021-04-09,863830.53
2021-04-10,532085.83
2021-04-11,398228.09
2021-04-12,768784.67
2021-04-13,768618.58
2021-04-14,854415.76
2021-04-15,882068.94
2021-04-16,908505.15
2021-04-17,543222.00
2021-04-18,509671.82
2021-04-19,845501.15
2021-04-20,844370.64
2021-04-21,839671.39
2021-04-22,872383.15
2021-04-23,886058.40
2021-04-24,539509.11
2021-04-25,192972.33
2021-04-26,774488.92
2021-04-27,891504.00
2021-04-28,920606.30
2021-04-29,932958.84
2021-04-30,886954.30
2021-05-01,534402.04
2021-05-02,406317.10
2021-05-03,746331.84
2021-05-04,790894.62
2021-05-05,854592.03
2021-05-06,867141.12
2021-05-07,863452.98
2021-05-08,564743.84
2021-05-09,409727.27
2021-05-10,823201.98
2021-05-11,787225.05
2021-05-12,878321.62
2021-05-13,893593.65
2021-05-14,946009.44
2021-05-15,532501.72
2021-05-16,413655.16
2021-05-17,844514.07
2021-05-18,772985.31
2021-05-19,842957.25
2021-05-20,894152.43
2021-05-21,903029.08
2021-05-22,569652.39
2021-05-23,438263.96
2021-05-24,813313.80
2021-05-25,37173032.81
2021-05-26,843267.50
2021-05-27,911256.62
2021-05-28,920532.07
2021-05-29,538038.54
2021-05-30,422412.06
2021-05-31,904237.72
2021-06-01,814734.87
2021-06-02,846823.79
2021-06-03,850063.10
2021-06-04,903350.26
2021-06-05,558601.41
2021-06-06,434290.21
2021-06-07,802311.11
2021-06-08,828730.16
2021-06-09,898468.78
2021-06-10,983132.43
2021-06-11,869984.74
2021-06-12,555744.19
2021-06-13,391068.69
2021-06-14,415740.82
2021-06-15,875417.81
2021-06-16,928434.32
2021-06-17,971107.37
